Product Category,Product Name,2020Production,2021Production
Vegetables cultivated for their fruits,Pepper (bell),389957,429000
Vegetables cultivated for their fruits,Pepper (green),838890,909000
Vegetables cultivated for their fruits,Banana pepper,116967,161000
Vegetables cultivated for their fruits,Okra,40654,32060
Vegetables cultivated for their fruits,Eggplant,835422,826500
Vegetables cultivated for their fruits,Squash,547208,606800
Vegetables cultivated for their fruits,Pumpkin,93659,91000
Vegetables cultivated for their fruits,Squash (for appetizer),57184,62400
Leguminous,Peas (green) ,108492,110200
Leguminous,Beans (green) ,547349,520800
Leguminous,Cowpea (green),16781,14150
Leguminous,Broad beans (green) ,54317,40730
Leguminous,Calavence (green),88107,77460
Vegetables cultivated for their fruits,Melon,1724856,1680000
Vegetables cultivated for their fruits,Watermelon ,3491554,3437000
Vegetables cultivated for their fruits,Pepino,50,86
Vegetables cultivated for their fruits,Bitter melon,0,63
Leafy Vegetables,Cauliflower ,216334,231800
Leafy Vegetables,Broccoli ,95057,101000
Leafy Vegetables,Cabbages (white),594143,597000
Leafy Vegetables,Cabbages (red),198516,199000
Leafy Vegetables,Brussels sprouts,2889,2710
Leafy Vegetables,Cabbages (kale),56100,58500
Leafy Vegetables,Lettuce (loose leaf),207234,224800
Leafy Vegetables,Lettuce (cos),225639,208000
Leafy Vegetables,Lettuce (iceberg),87278,94800
Leafy Vegetables,Artichokes,39280,39600
Leafy Vegetables,Celery,1729,1580
Leafy Vegetables,Spinach,231515,222750
Leafy Vegetables,Swiss chard,7137,7690
Leafy Vegetables,Purslane,5702,11980
Leafy Vegetables,Parsley,97760,102720
Leafy Vegetables,Rocket,15045,21550
Leafy Vegetables,Cress,8352,8150
Leafy Vegetables,Mint,23471,26400
Leafy Vegetables,Dill,8267,9060
Leafy Vegetables,Asparagus,1079,1150
Mushroom,Cultivated Mushroom,55455,61280
"Banana,fig,kiwi,avocado",Bananas  ,728133,867000
"Banana,fig,kiwi,avocado",Figs ,320000,320000
"Banana,fig,kiwi,avocado",Kiwi ,73745,77400
"Banana,fig,kiwi,avocado",Avocado ,5923,8750
Citrus,Oranges ,1333975,1742000
Citrus,Mandarin,1585629,1819000
Citrus,Lemons ,1188517,1550000
Citrus,Grape fruits ,238012,249000
Citrus,Sour oranges ,2609,2610
Fresh Fruit,Apples,4300486,4286000
Fresh Fruit,Pears,545569,535000
Fresh Fruit,Quinces,189251,191300
Fresh Fruit,Loquats,16402,15900
Fresh Fruit,Medlar,4964,5000
Fresh Fruit,Peaches,892048,901500
Fresh Fruit,Plums,329056,334000
Fresh Fruit,Apricots,833398,842000
Fresh Fruit,Wild apricots,17005,17500
Fresh Fruit,Cherries,724944,675800
Fresh Fruit,Sour cherries,189184,180800
Fresh Fruit,Cornel,14231,13710
Fresh Fruit,Oleaster,4050,4050
Fresh Fruit,Jujube,1229,1610
Fresh Fruit,Strawberries,546525,657400
Fresh Fruit,Raspberry,5445,5110
Fresh Fruit,Mulberry,70620,71900
Fresh Fruit,Pomegranates,600021,641000
Fresh Fruit,Persimmons,60661,76290
Fresh Fruit,Carobs,18806,18530
Fresh Fruit,Blackberry,2511,2720
Fresh Fruit,Blueberry,1287,1990
Olive and Nuts,Olive ,1316626,1782197
Olive and Nuts,Almonds ,159187,173000
Olive and Nuts,Hazelnuts ,665000,684000
Olive and Nuts,Walnuts ,286706,320000
Olive and Nuts,Chestnuts ,76045,76000
Olive and Nuts,Pistachios ,296376,119355
Spices Crops & Tea,Dry pepper ,256735,285000
Spices Crops & Tea,Anise ,10716,7020
Spices Crops & Tea,Cumin ,13926,8080
Spices Crops & Tea,Thyme ,23866,24300
Spices Crops & Tea,Black cumin,3412,6270
Spices Crops & Tea,Fennel,4365,2510
Spices Crops & Tea,Coriander,188,190
Spices Crops & Tea,Heather,1788,1910
Spices Crops & Tea,Capers,3,13
Spices Crops & Tea,Green tea leaves,1417685,1400000
